EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs,CHANNEL,IMAGE,MODULE,PIX_COL,PIX_ROW
220310437,9.9652319,2.8607931,16.92, GO8070_LC,83,c8_lcs/220310437.png,24,144,317
220310456,17.0899372,2.861021,17.159, GO8070_LC,37,c8_lcs/220310456.png,12,397,650
220310561,21.5649967,2.862932,16.794, GO8070_LC,14,c8_lcs/220310561.png,6,1098,410
220310862,19.1376553,2.869348,17.224, GO8070_LC,39,c8_lcs/220310862.png,12,308,436
220310893,22.6940651,2.869941,16.77, GO8070_LC,14,c8_lcs/220310893.png,6,261,994
220311558,19.0540638,2.8830709,17.423, GO8070_LC,39,c8_lcs/220311558.png,12,363,490
220311621,18.9137688,2.8843429,17.772, GO8070_LC,39,c8_lcs/220311621.png,12,465,565
220311724,18.7708511,2.8862741,17.189, GO8070_LC,39,c8_lcs/220311724.png,12,569,641
220312182,12.1721516,2.8949749,15.965, GO8070_LC,77,c8_lcs/220312182.png,23,644,205
220312812,19.0876999,2.907922,17.054, GO8070_LC,39,c8_lcs/220312812.png,12,324,491
220312865,14.9733868,2.9087169,17.098, GO8070_LC,62,c8_lcs/220312865.png,18,99,733
220313124,22.2160568,2.914556,16.978, GO8070_LC,14,c8_lcs/220313124.png,6,592,712
220313929,21.9375744,2.931211,16.794, GO8070_LC,14,c8_lcs/220313929.png,6,788,554
220314283,19.0963783,2.938426,15.481, GO8070_LC,39,c8_lcs/220314283.png,12,302,509
220314464,13.1965961,2.94238,16.629, GO8070_LC,63,c8_lcs/220314464.png,18,1063,141
220314615,12.1807508,2.9456019,16.041, GO8070_LC|GO8042_LC,77,c8_lcs/220314615.png,23,612,172
220314655,19.1021614,2.9465139,17.262, GO8070_LC,39,c8_lcs/220314655.png,12,293,512
220314852,9.606925,2.950861,17.71, GO8070_LC,83,c8_lcs/220314852.png,24,402,104
220315080,13.3809366,2.955997,17.823, GO8070_LC,63,c8_lcs/220315080.png,18,976,283
220315516,21.9394245,2.964958,16.823, GO8070_LC,14,c8_lcs/220315516.png,6,769,530
220315899,10.211174,2.972914,17.635, GO8070_LC,83,c8_lcs/220315899.png,24,96,557
220315970,9.7441702,2.9744251,17.098, GO8070_LC,83,c8_lcs/220315970.png,24,346,217
220316085,11.6036167,2.976882,17.667, GO8070_LC,77,c8_lcs/220316085.png,23,283,578
220316119,13.3286171,2.9776101,16.837, GO8070_LC,63,c8_lcs/220316119.png,18,1018,256
220316202,14.206027,2.979568,17.659, GO8070_LC,63,c8_lcs/220316202.png,18,556,900
