EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs,CHANNEL,IMAGE,MODULE,PIX_COL,PIX_ROW,ZSPEC
220624515,18.9943142,9.579917,19.231,GO8052_LC,9.0,c8_lcs/220624515.png,4.0,330.0,118.0,1.657
220318531,9.5899963,3.0289021,18.918,GO8052_LC,83.0,c8_lcs/220318531.png,24.0,466.0,133.0,2.15
220542876,14.1754684,7.7300439,19.094,GO8052_LC,47.0,c8_lcs/220542876.png,14.0,837.0,716.0,2.616
220694243,19.835392,11.3139772,19.376,GO8052_LC,11.0,c8_lcs/220694243.png,4.0,1034.0,522.0,1.303
220520129,13.649066,7.2238588,19.13,GO8052_LC,47.0,c8_lcs/220520129.png,14.0,186.0,810.0,1.394
220400365,16.9630184,4.7222281,18.668,GO8052_LC,43.0,c8_lcs/220400365.png,13.0,934.0,355.0,0.802
220630354,15.9934826,9.7116823,18.639,GO8052_LC,27.0,c8_lcs/220630354.png,9.0,621.0,210.0,0.689
220597780,11.4989424,8.9751034,18.806,GO8052_LC,72.0,c8_lcs/220597780.png,20.0,75.0,977.0,0.731
220714067,13.8006058,11.8726883,18.984,GO8052_LC,31.0,c8_lcs/220714067.png,10.0,192.0,66.0,2.313
220686670,15.2319746,11.1046724,18.993,GO8052_LC,30.0,c8_lcs/220686670.png,10.0,812.0,782.0,2.442
220625405,17.3208961,9.601531,18.938,GO8052_LC,28.0,c8_lcs/220625405.png,9.0,689.0,981.0,3.001
220465491,16.0545807,5.9961638,19.027,GO8052_LC,42.0,c8_lcs/220465491.png,13.0,927.0,388.0,0.656
220497903,16.4951725,6.7200098,18.908,GO8052_LC,42.0,c8_lcs/220497903.png,13.0,222.0,87.0,1.086
220343599,22.1753712,3.5586879,19.019,GO8052_LC,14.0,c8_lcs/220343599.png,6.0,284.0,214.0,2.43
220328607,16.9037609,3.2497599,18.043,GO8052_LC,37.0,c8_lcs/220328607.png,12.0,465.0,266.0,2.275
220650016,16.5663891,10.178627,18.554,GO8052_LC,28.0,c8_lcs/220650016.png,9.0,932.0,165.0,2.35
220416749,17.5465336,5.04251,19.254,GO8052_LC,43.0,c8_lcs/220416749.png,13.0,337.0,285.0,3.324
220250435,20.2043896,1.581627,19.27,GO8052_LC,34.0,c8_lcs/220250435.png,11.0,197.0,643.0,3.248
220252978,22.8280201,1.6324739,18.775,GO8052_LC,15.0,c8_lcs/220252978.png,6.0,808.0,178.0,2.375
220305123,21.6034203,2.745312,18.907,GO8052_LC,13.0,c8_lcs/220305123.png,6.0,1083.0,517.0,2.224
220283083,20.6466274,2.2743721,19.357,GO8052_LC,13.0,c8_lcs/220283083.png,6.0,130.0,365.0,2.298
220428500,22.1842976,5.2666898,18.501,GO8052_LC,1.0,c8_lcs/220428500.png,2.0,643.0,211.0,0.706
220253934,16.5193729,1.652144,18.713,GO8052_LC,59.0,c8_lcs/220253934.png,17.0,292.0,915.0,0.781
220536127,17.7456818,7.5773559,19.162,GO8052_LC,22.0,c8_lcs/220536127.png,8.0,138.0,742.0,1.97
220510639,19.7388153,7.0080981,19.283,GO8052_LC,24.0,c8_lcs/220510639.png,8.0,621.0,255.0,3.51
220679424,19.1586628,10.9136276,18.733,GO8052_LC,10.0,c8_lcs/220679424.png,4.0,983.0,935.0,0.727
220589199,17.9442158,8.7907524,19.264,GO8052_LC,25.0,c8_lcs/220589199.png,9.0,660.0,255.0,1.403
220281670,18.2458954,2.243,18.831,GO8052_LC,40.0,c8_lcs/220281670.png,12.0,922.0,444.0,2.355
220652859,18.8892479,10.249115,18.721,GO8052_LC,9.0,c8_lcs/220652859.png,4.0,878.0,392.0,0.472
220337412,19.0127583,3.42997,18.828,GO8052_LC,39.0,c8_lcs/220337412.png,12.0,106.0,916.0,1.58
220140152,17.5602131,-2.2826829,18.464,GO8005_LC,56.0,c8_lcs/220140152.png,16.0,610.0,54.0,0.727
220321888,16.3964577,3.1032741,19.086,GO8052_LC,37.0,c8_lcs/220321888.png,12.0,14.0,107.0,1.109
220418472,22.756424,5.0751371,18.573,GO8052_LC,1.0,c8_lcs/220418472.png,2.0,205.0,534.0,3.25
220592916,16.5762215,8.8714409,18.709,GO8052_LC,26.0,c8_lcs/220592916.png,9.0,601.0,1025.0,2.574
220713015,16.3244858,11.8423214,18.938,GO8052_LC,29.0,c8_lcs/220713015.png,10.0,226.0,760.0,2.223
220241957,16.9688606,1.393571,18.513,GO8052_LC,59.0,c8_lcs/220241957.png,17.0,96.0,486.0,3.525
220576209,17.0907459,8.5127754,18.724,GO8052_LC,26.0,c8_lcs/220576209.png,9.0,787.0,494.0,2.285
220192213,19.0412502,-0.30006,18.776,GO8052_LC,36.0,c8_lcs/220192213.png,11.0,171.0,738.0,0.388
220209831,13.754343,0.35192,18.664,GO8052_LC,73.0,c8_lcs/220209831.png,22.0,772.0,395.0,0.1926
220573981,16.3570213,8.461978,19.148,GO8052_LC,26.0,c8_lcs/220573981.png,9.0,226.0,838.0,1.759
220233020,14.5845308,1.160064,18.738,GO8052_LC,57.0,c8_lcs/220233020.png,17.0,242.0,582.0,0.265
220225692,18.1688652,0.907612,18.637,GO8052_LC,33.0,c8_lcs/220225692.png,11.0,162.0,71.0,0.237
220228959,20.727644,1.018481,18.622,GO8052_LC,35.0,c8_lcs/220228959.png,11.0,107.0,824.0,0.2
220181977,19.7608032,-0.71087,18.026,GO8052_LC,36.0,c8_lcs/220181977.png,11.0,486.0,57.0,0.216
220185497,12.199008,-0.564206,15.454,GO8070_LC,76.0,c8_lcs/220185497.png,22.0,621.0,133.0,0.044
