EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs,CHANNEL,IMAGE,MODULE,PIX_COL,PIX_ROW,SDSS_NAME,REDSHIFT,LOGLBOL,LOGLBOL_ERR,LOGBH_HB_MD04,LOGBH_HB_MD04_ERR,LOGBH_HB_VP06,LOGBH_HB_VP06_ERR,LOGBH_MGII_MD04,LOGBH_MGII_MD04_ERR,LOGBH_MGII_VO09,LOGBH_MGII_VO09_ERR,LOGBH_MGII_S10,LOGBH_MGII_S10_ERR,LOGBH_CIV_VP06,LOGBH_CIV_VP06_ERR,LOGBH,LOGBH_ERR,LOGEDD_RATIO
220184071,17.1117725,-0.623413,17.844,GO8001_LC|GO8005_LC|GO8052_LC,54.0,c8_lcs/220184071.png,16.0,1055.0,639.0,010826.84-003724.2,1.3724000453948975,47.035565634553464,0.004467646764464206,0.0,-1.0,0.0,-1.0,9.733984692002002,0.03062554491999173,9.104492680673665,0.09259513721775778,9.27926379111423,0.18879287034141848,0.0,-1.0,9.27926379111423,0.18879287034141848,-0.3440687016783315
220184207,13.1051273,-0.617961,18.692999999999998,GO8052_LC,75.0,c8_lcs/220184207.png,22.0,1075.0,770.0,005225.22-003704.7,1.4017000198364258,46.71862386007205,0.001242394124393087,0.0,-1.0,0.0,-1.0,8.915633280978037,0.01504080061624446,8.559080664703137,0.014162795810498102,8.647718945105915,0.059466060914496494,0.0,-1.0,8.647718945105915,0.059466060914496494,-0.029465630151428
220185768,16.419710199999997,-0.553837,17.81,GO8001_LC|GO8052_LC,53.0,c8_lcs/220185768.png,16.0,680.0,223.0,010540.75-003313.9,1.1785999536514282,46.6831562287692,0.001673528250211831,0.0,-1.0,0.0,-1.0,10.3595001716617,0.03891166174660133,10.488713301698521,0.061527001170507585,10.594350193341795,0.06414083323389023,0.0,-1.0,10.594350193341795,0.06414083323389023,-2.01156450969016
220185866,13.895916,-0.5495359999999999,18.846,GO8052_LC,74.0,c8_lcs/220185866.png,22.0,706.0,768.0,005535.01-003258.3,2.0432000160217285,46.638230630549394,0.021777046536598732,0.0,-1.0,0.0,-1.0,9.471418462484637,0.07845300369219244,8.625633496711464,0.32187328418536515,9.706321925682309,0.21160809670842734,9.68363876250578,0.18070125747236837,9.68363876250578,0.18070125747236837,-1.1457786770739489
220186429,18.2933693,-0.525866,18.362000000000002,GO8052_LC,55.0,c8_lcs/220186429.png,16.0,138.0,961.0,011310.39-003133.1,0.412200003862381,45.45415159962574,0.004578121485351971,8.342242872687667,0.022823858232931843,8.405730053934619,0.041814683783096496,8.400700710766168,0.05046765997592306,8.114745402967316,0.20284513148395464,8.393665102112204,0.2896385032512339,0.0,-1.0,8.405730053934619,0.041814683783096496,-1.0519489994264433
220191502,13.8492212,-0.32821,18.566,GO8005_LC|GO8052_LC,74.0,c8_lcs/220191502.png,22.0,893.0,685.0,005523.82-001941.9,1.813099980354309,46.893972998664,0.0044023039268275,0.0,-1.0,0.0,-1.0,9.211073372672036,0.05667163432797488,8.949360538767262,0.14924954656200332,9.323151721354957,0.17937769345602816,9.280556624476247,0.11470989903773696,9.323151721354957,0.17937769345602816,-0.5295492678085267
220191716,16.904273999999997,-0.319871,18.627,GO8005_LC|GO8052_LC,54.0,c8_lcs/220191716.png,16.0,1051.0,310.0,010737.01-001911.6,0.737500011920929,46.228527604228326,0.0030371348418647415,8.340428248825287,0.03286860888148172,8.297701891494986,0.20033104119862366,8.672985567579468,0.03442452076788469,8.293907877192158,0.04295365482064093,8.252770086510596,0.07466359418836284,0.0,-1.0,8.252770086510596,0.07466359418836284,-0.12461302739983182
220192000,20.212217300000002,-0.309186,18.387999999999998,GO8052_LC,36.0,c8_lcs/220192000.png,11.0,1029.0,116.0,012050.94-001832.9,0.3492000102996826,45.447318187003916,0.004767125656886861,9.2158447806782,0.04143279515087744,9.372210073551303,0.09756159230797073,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,9.372210073551303,0.09756159230797073,-2.025262431664949
220192831,20.3119335,-0.27708699999999997,19.355,GO8052_LC,35.0,c8_lcs/220192831.png,11.0,1094.0,87.0,012114.86-001637.4,2.3815999031066895,46.903336623786785,0.01150281894589611,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,9.301642120878649,0.11211944599613255,9.301642120878649,0.11211944599613255,-0.49867604220942496
220193243,19.9553318,-0.261676,19.38,GO8052_LC,36.0,c8_lcs/220193243.png,11.0,865.0,286.0,011949.28-001542.0,1.8116999864578247,46.47798794631122,0.023419681604114118,0.0,-1.0,0.0,-1.0,9.707020974242909,0.06295485931290129,8.40447622494811,0.1658767890364415,0.0,-1.0,8.797400607954476,0.13907741514258387,8.797400607954476,0.13907741514258387,-0.4197832067608189
220198775,20.734129,-0.04797,19.007,GO8052_LC,35.0,c8_lcs/220198775.png,11.0,663.0,35.0,012256.19-000252.7,0.34049999713897705,45.0917872431072,0.007110865443706871,8.820403364461164,0.10510338117548577,9.052077008137141,0.2713432199645984,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,9.052077008137141,0.2713432199645984,-2.0606603101475045
220200640,13.671669,0.019649,18.375999999999998,GO8005_LC|GO8052_LC,73.0,c8_lcs/220200640.png,22.0,972.0,631.0,005441.19+000110.6,0.6467999815940857,46.18669312764073,0.00225695956536498,8.556953056927913,0.020231321834795556,8.664282175206129,0.07023861591064649,8.392562834194704,0.015127176394830582,8.247168077089691,0.026960969312216903,8.185762937498783,0.04035007970216447,0.0,-1.0,8.664282175206129,0.07023861591064649,-0.5779595926829657
220205720,15.5245552,0.199186,17.15,GO8001_LC|GO8005_LC|GO8052_LC,60.0,c8_lcs/220205720.png,17.0,422.0,367.0,010205.89+001156.9,0.7253000140190125,46.54310524786581,0.0018897638428931884,9.532192562080905,0.0801521930673297,9.615847967563491,0.10143352820428679,9.229629563937747,0.02918506861259224,9.029380407674436,0.2093034034138632,9.563102412972826,0.09941086842985129,0.0,-1.0,9.563102412972826,0.09941086842985129,-1.1203677102245777
