EPIC,magnitude,module,submodule,gini,spike,PSD_m_above_noise,PSD_m_below_noise
211487306.0,11.473,10.0,0.0,0.931066471625769,2.852701864349065,-1.6664982020415449,-1.1248398211106023
211487496.0,17.166,10.0,0.0,0.5065346602499234,1.7489090277227883,-1.1283305006521172,-0.774486566625882
211487502.0,17.433,10.0,0.0,0.3950895913363036,1.1937384987711703,-0.9347701376500464,-0.751612797015659
211487536.0,12.539,10.0,0.0,0.9087433645367267,3.1218623338598093,-0.7987644341594682,-1.7886706379955617
211487634.0,8.487,10.0,0.0,0.853803304227379,2.248602953617364,-0.7879323207987038,-1.7632311754856127
211487667.0,11.903,10.0,0.0,0.9136816333235898,3.2607791934657375,-0.8481651505904154,-1.5555067588548515
211487700.0,15.183,10.0,0.0,0.7907612400453445,2.0515954045032143,-0.9215333654751507,-1.1486516255508712
211488032.0,12.197,10.0,0.0,0.9147819768885364,3.4298981794002525,-0.8295817032719902,-1.8132957828616356
211488091.0,14.713,10.0,0.0,0.8232491295955694,3.106234844461686,-0.7759304122272632,-1.1930916645785106
211488939.0,10.732,10.0,0.0,0.9297185604181182,3.3532756208017975,-0.5654763240193919,-1.6105693623884385
211489104.0,17.223,10.0,0.0,0.5021141051634408,0.9880445343052239,-1.6407923252999168,-0.2744933319368314
211489476.0,19.502,10.0,0.0,0.18419520037635073,1.3291931474289906,-1.063871548094823,-0.26322385350457006
211489718.0,17.293,10.0,0.0,0.4849804474206023,2.388546713183457,-1.1361393545423002,-0.8863943626728257
211489748.0,11.474,10.0,0.0,0.9252869283641729,3.0477172839180757,-1.0412793023784488,-1.4562591497891197
211490070.0,14.492,10.0,0.0,0.8329282612486985,0.9401618745674976,-1.0067166822428215,-1.1354400787125263
211490148.0,11.761,10.0,0.0,0.9209306401038587,2.8881969322795396,-0.5400727381023722,-1.6058357072989673
211490186.0,15.507,10.0,0.0,0.7718990572394008,3.0395350311533975,-0.6060391009604728,-1.5130975782780214
211490645.0,17.921,10.0,0.0,0.7776757447821813,3.7188475548357696,-0.4932926970548691,-1.9315576788113116
211490779.0,14.218,10.0,0.0,0.8447302071341116,3.3037216303316086,-0.917933722739082,-1.7253515146408702
211491057.0,15.686,10.0,0.0,0.7921426411695358,2.1210146473319424,-1.3339587385694267,-0.6111936858565363
211491069.0,15.165,10.0,0.0,0.8217949952800261,2.4389790043818107,-0.9536493561703089,-0.9437503304512163
211491383.0,11.785,10.0,0.0,0.9227584272485646,2.337522114434204,-0.8753676205628355,-1.6373377883312825
211491417.0,15.855,10.0,0.0,0.7076562921308474,2.1615624512073937,-1.437878669401235,-0.6566501447570164
211491461.0,16.938,10.0,0.0,0.7853044027574724,3.4281875150402095,-0.974834632795301,-1.6814777311886255
211491571.0,11.804,10.0,0.0,0.9238261203332857,3.1953156772913163,-0.776349897549534,-1.980567424773071
211491733.0,17.498,10.0,0.0,0.42656836294044576,2.508554348622499,-0.9452902252500786,-0.45999527787948735
211491734.0,18.952,10.0,0.0,0.2451113279225154,0.8881726438593365,-1.7534395041254123,-0.2967989025559473
211491823.0,13.638,10.0,0.0,0.8422517184808344,3.478996223203142,-0.6639541342479958,-1.7688486777186492
211492295.0,15.865,10.0,0.0,0.7718405020408404,2.2672350103665115,-1.296605453212765,-0.5213340057198048
211492999.0,9.149,10.0,0.0,0.9464872162100804,2.9343125714769154,-0.640891493118034,-1.2772104653549903
211493164.0,14.867,10.0,0.0,0.7863436955311353,3.7006114380611876,-0.5440955909021568,-1.9213419148190618
211493551.0,13.293,10.0,0.0,0.8888316102255366,2.269632010305702,-2.124834152051974,-1.5377992626462464
211493755.0,17.869,10.0,0.0,0.9206839997003243,3.2155024261057097,-0.5679892586797408,-2.227625736416158
211493869.0,18.525,10.0,0.0,0.38367246630872026,2.7143736510091503,-0.6642132168991131,-1.6238174032322474
